region,risk_aversion,utility,optimal_y,risk_free_weight,product_category,citi_products,graph_1_x,graph_1_y,graph_2_x,graph_2_y
central water catchment,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
changi,0.8460000000000001,0.11894249999999999,0.8742848350049656,0.12571516499503443,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07471405200000002, 0.07885620800000001, 0.08242646799999999, 0.08542483199999999, 0.0878513, 0.089705872, 0.09098854799999999, 0.091699328, 0.09183821199999999, 0.09140519999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07042300000000001, 0.071692, 0.07380700000000001, 0.076768, 0.08057500000000001, 0.08522800000000001, 0.090727, 0.09707200000000002, 0.10426300000000002, 0.11230000000000001]"
changi bay,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
tengah,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
clementi,2.04,0.11745,0.36257106392852984,0.6374289360714702,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07431048000000001, 0.07724192000000002, 0.07879431999999999, 0.07896768, 0.077762, 0.07517728000000001, 0.07121352, 0.06587072, 0.05914887999999999, 0.05104799999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07102000000000001, 0.07408000000000001, 0.07918, 0.08632000000000001, 0.0955, 0.10672000000000001, 0.11998, 0.13528, 0.15262000000000003, 0.17200000000000001]"
geylang,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07426992000000002, 0.07707968000000001, 0.07842927999999999, 0.07831872, 0.076748, 0.07371712, 0.06922608, 0.06327487999999998, 0.05586351999999998, 0.04699199999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07108, 0.07432000000000001, 0.07972000000000001, 0.08728000000000001, 0.097, 0.10888, 0.12292, 0.13912000000000002, 0.15748000000000004, 0.17800000000000002]"
hougang,1.9200000000000004,0.1176,0.3852317554240629,0.614768244575937,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07435104000000001, 0.07740416000000001, 0.07915935999999998, 0.07961663999999999, 0.078776, 0.07663744, 0.07320095999999998, 0.06846655999999998, 0.062434239999999974, 0.05510399999999997]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07096000000000001, 0.07384, 0.07864000000000002, 0.08536000000000002, 0.09400000000000001, 0.10456000000000001, 0.11704, 0.13144000000000003, 0.14776000000000006, 0.16600000000000004]"
pioneer,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
punggol,1.9200000000000004,0.1176,0.3852317554240629,0.614768244575937,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07435104000000001, 0.07740416000000001, 0.07915935999999998, 0.07961663999999999, 0.078776, 0.07663744, 0.07320095999999998, 0.06846655999999998, 0.062434239999999974, 0.05510399999999997]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07096000000000001, 0.07384, 0.07864000000000002, 0.08536000000000002, 0.09400000000000001, 0.10456000000000001, 0.11704, 0.13144000000000003, 0.14776000000000006, 0.16600000000000004]"
seletar,0.24000000000000005,0.1197,3.0818540433925032,-2.0818540433925032,9,"['Very High Risk Investment', 'CTG Cross-Sell', 'NBO AUM', 'Top Up IPB', 'NBO MGM IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07491888000000001, 0.07967552000000001, 0.08426992, 0.08870208, 0.092972, 0.09707968, 0.10102512, 0.10480832, 0.10842927999999999, 0.11188799999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07012, 0.07048, 0.07108, 0.07192000000000001, 0.07300000000000001, 0.07432000000000001, 0.07588, 0.07768000000000001, 0.07972000000000001, 0.08200000000000002]"
