region,risk_aversion,utility,optimal_y,risk_free_weight,product_category,citi_products,graph_1_x,graph_1_y,graph_2_x,graph_2_y
western islands,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
western water catchment,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
woodlands,2.0100000000000007,0.1174875,0.3679825723453735,0.6320174276546264,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07432062, 0.07728248000000001, 0.07888557999999998, 0.07912991999999999, 0.07801549999999999, 0.07554232, 0.07171037999999999, 0.06651967999999997, 0.05997021999999997, 0.05206199999999997]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07100500000000001, 0.07402, 0.079045, 0.08608000000000002, 0.09512500000000002, 0.10618000000000002, 0.11924500000000002, 0.13432000000000005, 0.15140500000000007, 0.17050000000000004]"
yishun,2.0700000000000003,0.11741249999999999,0.3573164108281164,0.6426835891718836,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07430034, 0.07720136000000001, 0.07870305999999999, 0.07880543999999999, 0.0775085, 0.07481224, 0.07071665999999999, 0.06522175999999999, 0.058327539999999976, 0.05003399999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.071035, 0.07414000000000001, 0.07931500000000001, 0.08656000000000001, 0.09587500000000002, 0.10726000000000001, 0.12071500000000002, 0.13624000000000003, 0.15383500000000006, 0.17350000000000004]"
downtown core,1.11,0.1186125,0.6663468201929738,0.33365317980702625,7,"['Sectorial Fund', 'FX', 'CTP Cross-Sell']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07462482000000001, 0.07849928000000002, 0.08162338, 0.08399712, 0.0856205, 0.08649352, 0.08661617999999999, 0.08598847999999999, 0.08461041999999999, 0.08248199999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.070555, 0.07222, 0.074995, 0.07888, 0.083875, 0.08998, 0.097195, 0.10552000000000002, 0.11495500000000003, 0.1255]"
marina east,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
marina south,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
museum,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
newton,0.7200000000000001,0.1191,1.0272846811308345,-0.027284681130834487,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07475664000000001, 0.07902656000000001, 0.08280976, 0.08610624, 0.088916, 0.09123904000000001, 0.09307536, 0.09442496, 0.09528783999999998, 0.09566399999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07036, 0.07144, 0.07324000000000001, 0.07576000000000001, 0.07900000000000001, 0.08296, 0.08764000000000001, 0.09304000000000001, 0.09916000000000001, 0.10600000000000001]"
orchard,0.12000000000000002,0.11985,6.1637080867850065,-5.1637080867850065,9,"['Very High Risk Investment', 'CTG Cross-Sell', 'NBO AUM', 'Top Up IPB', 'NBO MGM IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07495944000000002, 0.07983776000000002, 0.08463496, 0.08935103999999999, 0.093986, 0.09853984, 0.10301255999999999, 0.10740416, 0.11171463999999999, 0.11594399999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07006000000000001, 0.07024000000000001, 0.07054, 0.07096000000000001, 0.07150000000000001, 0.07216, 0.07294, 0.07384, 0.07486000000000001, 0.07600000000000001]"
outram,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07426992000000002, 0.07707968000000001, 0.07842927999999999, 0.07831872, 0.076748, 0.07371712, 0.06922608, 0.06327487999999998, 0.05586351999999998, 0.04699199999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07108, 0.07432000000000001, 0.07972000000000001, 0.08728000000000001, 0.097, 0.10888, 0.12292, 0.13912000000000002, 0.15748000000000004, 0.17800000000000002]"
kallang,2.22,0.117225,0.3331734100964869,0.6668265899035131,1,"['Retail Product Cross-Sell', 'Money Market Fund: Local', 'MGM Retail']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07424964, 0.07699856000000002, 0.07824676, 0.07799423999999999, 0.076241, 0.07298704, 0.06823235999999999, 0.061976959999999984, 0.05422083999999998, 0.044963999999999976]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07111, 0.07444, 0.07999, 0.08776, 0.09775, 0.10996, 0.12439, 0.14104000000000003, 0.15991000000000005, 0.18100000000000002]"
lim chu kang,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
mandai,0.6600000000000001,0.11917499999999999,1.1206741975972738,-0.12067419759727382,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07477692000000001, 0.07910768000000001, 0.08299227999999999, 0.08643071999999999, 0.089423, 0.09196912, 0.09406908, 0.09572288, 0.09693051999999999, 0.09769199999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07033, 0.07132000000000001, 0.07297000000000001, 0.07528000000000001, 0.07825000000000001, 0.08188000000000001, 0.08617000000000001, 0.09112000000000002, 0.09673000000000001, 0.10300000000000001]"
marine parade,1.8000000000000003,0.11775,0.4109138724523338,0.5890861275476662,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07439160000000002, 0.07756640000000001, 0.0795244, 0.08026559999999999, 0.07979, 0.0780976, 0.07518839999999999, 0.07106239999999998, 0.06571959999999998, 0.05915999999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.0709, 0.07360000000000001, 0.0781, 0.08440000000000002, 0.09250000000000001, 0.10240000000000002, 0.11410000000000001, 0.12760000000000002, 0.14290000000000003, 0.16000000000000003]"
north-eastern islands,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
novena,1.7400000000000002,0.117825,0.4250833163300005,0.5749166836699995,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07441188000000001, 0.07764752000000001, 0.07970691999999999, 0.08059008, 0.080297, 0.07882768000000001, 0.07618211999999999, 0.07236031999999998, 0.06736227999999998, 0.061187999999999985]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07087, 0.07348, 0.07783000000000001, 0.08392000000000001, 0.09175000000000001, 0.10132000000000001, 0.11263000000000001, 0.12568000000000001, 0.14047000000000004, 0.15700000000000003]"
pasir ris,1.7700000000000002,0.11778749999999999,0.4178785143583056,0.5821214856416944,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07440174000000001, 0.07760696000000002, 0.07961565999999999, 0.08042784, 0.0800435, 0.07846264, 0.07568525999999999, 0.07171135999999999, 0.06654093999999998, 0.060173999999999984]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.070885, 0.07354000000000001, 0.077965, 0.08416000000000001, 0.09212500000000001, 0.10186, 0.11336500000000001, 0.12664000000000003, 0.14168500000000003, 0.15850000000000003]"
paya lebar,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
river valley,0.6600000000000001,0.11917499999999999,1.1206741975972738,-0.12067419759727382,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07477692000000001, 0.07910768000000001, 0.08299227999999999, 0.08643071999999999, 0.089423, 0.09196912, 0.09406908, 0.09572288, 0.09693051999999999, 0.09769199999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07033, 0.07132000000000001, 0.07297000000000001, 0.07528000000000001, 0.07825000000000001, 0.08188000000000001, 0.08617000000000001, 0.09112000000000002, 0.09673000000000001, 0.10300000000000001]"
rochor,1.11,0.1186125,0.6663468201929738,0.33365317980702625,7,"['Sectorial Fund', 'FX', 'CTP Cross-Sell']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07462482000000001, 0.07849928000000002, 0.08162338, 0.08399712, 0.0856205, 0.08649352, 0.08661617999999999, 0.08598847999999999, 0.08461041999999999, 0.08248199999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.070555, 0.07222, 0.074995, 0.07888, 0.083875, 0.08998, 0.097195, 0.10552000000000002, 0.11495500000000003, 0.1255]"
singapore river,0.6600000000000001,0.11917499999999999,1.1206741975972738,-0.12067419759727382,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07477692000000001, 0.07910768000000001, 0.08299227999999999, 0.08643071999999999, 0.089423, 0.09196912, 0.09406908, 0.09572288, 0.09693051999999999, 0.09769199999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07033, 0.07132000000000001, 0.07297000000000001, 0.07528000000000001, 0.07825000000000001, 0.08188000000000001, 0.08617000000000001, 0.09112000000000002, 0.09673000000000001, 0.10300000000000001]"
straits view,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
